Classifier: MLPClassifier
------------------------------------------
Accuracy:  0.638
Precision:  0.638
Recall:  0.638
F1 Score:  0.638
Jaccard Score:  0.468
Hamming Loss:  0.362
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
          Syringa reticulata       0.45      0.50      0.48        20
          Taxodium distichum       0.00      0.00      0.00        38
             Tilia americana       0.00      0.00      0.00        47
               Tilia cordata       0.25      0.20      0.22        40
              Tilia europaea       0.02      0.51      0.03        39
             Tilia tomentosa       0.00      0.00      0.00        40
              Toona sinensis       0.00      0.00      0.00        13
            Tsuga canadensis       0.00      0.00      0.00        40
             Ulmus americana       0.00      0.00      0.00        66
                Ulmus glabra       0.00      0.00      0.00        34
            Ulmus parvifolia       0.00      0.00      0.00        40
               Ulmus procera       0.17      0.05      0.08        40
                Ulmus pumila       0.06      0.38      0.10        39
                 Ulmus rubra       0.00      0.00      0.00        88
             Zelkova serrata       0.00      0.00      0.00        39
                    accuracy                           0.10      7639
                   macro avg       0.14      0.10      0.08      7639
                weighted avg       0.14      0.10      0.08      7639
===============================================================================
Classifier: PassiveAggressiveClassifier
------------------------------------------
Accuracy:  0.085
Precision:  0.085
Recall:  0.085
F1 Score:  0.085
Jaccard Score:  0.045
Hamming Loss:  0.915
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.00      0.00      0.00        66
          Abies nordmanniana       0.00      0.00      0.00        41
              Acer campestre       1.00      0.03      0.05        36
                Acer ginnala       0.46      0.65      0.54        40
                Acer griseum       0.60      0.23      0.33        26
                Acer negundo       0.00      0.00      0.00        65
               Acer palmatum       0.00      0.00      0.00        40
          Acer pensylvanicum       0.14      0.56      0.22        39
            Acer platanoides       0.00      0.00      0.00        40
         Acer pseudoplatanus       0.00      0.00      0.00        39
                 Acer rubrum       0.00      0.00      0.00        83
            Acer saccharinum       0.03      0.16      0.05        49
              Acer saccharum       0.00      0.00      0.00        52
              Aesculus flava       0.50      0.08      0.14        38
             Aesculus glabra       1.00      0.08      0.14        39
      Aesculus hippocastamon       0.14      0.03      0.04        39
               Aesculus pavi       0.00      0.00      0.00        41
         Ailanthus altissima       0.00      0.00      0.00        34
         Albizia julibrissin       0.00      0.00      0.00        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.17      0.03      0.04        40
          Amelanchier laevis       0.33      0.12      0.18        40
             Asimina triloba       0.00      0.00      0.00        66
       Betula alleghaniensis       0.00      0.00      0.00        40
          Betula jacqemontii       0.00      0.00      0.00        40
                Betula lenta       0.00      0.00      0.00        39
                Betula nigra       0.00      0.00      0.00        39
          Betula populifolia       0.00      0.00      0.00        40
    Broussonettia papyrifera       0.00      0.00      0.00        79
            Carpinus betulus       0.00      0.00      0.00        40
        Carpinus caroliniana       0.15      0.49      0.24        49
           Carya cordiformis       0.00      0.00      0.00        49
                Carya glabra       0.09      0.30      0.14        33
                 Carya ovata       0.07      0.33      0.12        40
             Carya tomentosa       0.12      0.05      0.07        39
            Castanea dentata       0.00      0.00      0.00        39
        Catalpa bignonioides       0.32      0.67      0.43        57
            Catalpa speciosa       0.59      0.49      0.54        39
            Cedrus atlantica       0.00      0.00      0.00        26
              Cedrus deodara       0.00      0.00      0.00        26
               Cedrus libani       0.22      0.05      0.08        40
         Celtis occidentalis       0.02      0.27      0.05        37
           Celtis tenuifolia       0.00      0.00      0.00        39
    Cercidiphyllum japonicum       0.00      0.00      0.00        39
           Cercis canadensis       0.00      0.00      0.00        57
      Chamaecyparis pisifera       1.00      0.07      0.14        40
      Chamaecyparis thyoides       0.00      0.00      0.00        40
         Chionanthus retusus       0.00      0.00      0.00        40
      Chionanthus virginicus       0.03      0.18      0.05        57
            Cladrastis lutea       0.00      0.00      0.00        39
              Cornus florida       0.16      0.17      0.17        41
                Cornus kousa       0.00      0.00      0.00        40
                  Cornus mas       0.00      0.00      0.00        40
             Corylus colurna       0.50      0.06      0.11        16
        Crataegus crus-galli       0.00      0.00      0.00        34
         Crataegus laevigata       1.00      0.05      0.10        40
       Crataegus phaenopyrum       0.00      0.00      0.00        40
          Crataegus pruinosa       0.00      0.00      0.00        40
           Crataegus viridis       0.06      0.07      0.07        40
        Cryptomeria japonica       0.00      0.00      0.00        26
        Diospyros virginiana       0.12      0.39      0.18        66
           Eucommia ulmoides       0.09      0.45      0.15        40
            Evodia daniellii       0.00      0.00      0.00        26
           Fagus grandifolia       0.00      0.00      0.00        38
                Ficus carica       0.00      0.00      0.00        39
          Fraxinus americana       0.00      0.00      0.00        29
              Fraxinus nigra       0.52      0.35      0.42        40
      Fraxinus pennsylvanica       0.00      0.00      0.00        39
               Ginkgo biloba       0.00      0.00      0.00        40
       Gleditsia triacanthos       0.02      0.08      0.03        50
         Gymnocladus dioicus       0.00      0.00      0.00        39
          Halesia tetraptera       0.09      0.07      0.08        40
                  Ilex opaca       0.09      0.24      0.13        71
             Juglans cinerea       1.00      0.05      0.10        40
               Juglans nigra       0.00      0.00      0.00        49
        Juniperus virginiana       0.60      0.19      0.29        16
     Koelreuteria paniculata       0.16      0.23      0.18        40
               Larix decidua       1.00      0.07      0.14        40
     Liquidambar styraciflua       0.38      0.08      0.13        39
     Liriodendron tulipifera       1.00      0.02      0.03        61
            Maclura pomifera       0.09      0.16      0.11       140
          Magnolia acuminata       0.00      0.00      0.00        40
           Magnolia denudata       0.00      0.00      0.00        39
        Magnolia grandiflora       0.02      0.15      0.03        40
        Magnolia macrophylla       0.00      0.00      0.00        39
        Magnolia soulangiana       0.06      0.15      0.09        13
           Magnolia stellata       0.21      0.15      0.18        39
          Magnolia tripetala       0.00      0.00      0.00        39
         Magnolia virginiana       0.17      0.03      0.04        40
          Malus angustifolia       1.00      0.06      0.11        18
               Malus baccata       0.09      0.25      0.13        40
             Malus coronaria       0.00      0.00      0.00        40
            Malus floribunda       0.00      0.00      0.00        40
            Malus hupehensis       0.00      0.00      0.00        40
                Malus pumila       0.00      0.00      0.00        40
Metasequoia glyptostroboides       0.68      0.53      0.59        40
                  Morus alba       0.00      0.00      0.00        42
                 Morus rubra       0.05      0.12      0.07        41
             Nyssa sylvatica       0.00      0.00      0.00        39
           Ostrya virginiana       0.00      0.00      0.00        61
         Oxydendrum arboreum       0.12      0.33      0.18        39
         Paulownia tomentosa       0.13      0.46      0.20        39
      Phellodendron amurense       0.00      0.00      0.00        40
                 Picea abies       0.25      0.03      0.05        39
            Picea orientalis       0.05      0.10      0.07        39
               Picea pungens       0.00      0.00      0.00        40
              Pinus bungeana       0.00      0.00      0.00        40
                Pinus cembra       0.00      0.00      0.00        39
            Pinus densiflora       0.00      0.00      0.00        40
              Pinus echinata       0.11      0.03      0.04        40
              Pinus flexilis       0.00      0.00      0.00        41
            Pinus koraiensis       0.00      0.00      0.00        38
                 Pinus nigra       0.00      0.00      0.00        39
            Pinus parviflora       0.00      0.00      0.00        40
                Pinus peucea       0.00      0.00      0.00        41
               Pinus pungens       0.00      0.00      0.00        39
              Pinus resinosa       0.00      0.00      0.00        40
                Pinus rigida       0.19      0.10      0.13        40
               Pinus strobus       0.00      0.00      0.00        40
            Pinus sylvestris       0.44      0.10      0.16        40
                 Pinus taeda       0.00      0.00      0.00        40
            Pinus thunbergii       0.00      0.00      0.00        39
            Pinus virginiana       0.00      0.00      0.00        39
           Pinus wallichiana       0.00      0.00      0.00        40
         Platanus acerifolia       0.00      0.00      0.00        39
       Platanus occidentalis       0.07      0.18      0.10        55
           Populus deltoides       0.00      0.00      0.00        40
       Populus grandidentata       0.14      0.25      0.18        40
         Populus tremuloides       0.12      0.05      0.07        40
         Prunus pensylvanica       1.00      0.03      0.05        40
            Prunus sargentii       0.50      0.03      0.05        40
             Prunus serotina       0.00      0.00      0.00        42
            Prunus serrulata       0.13      0.08      0.10        39
          Prunus subhirtella       0.00      0.00      0.00        40
           Prunus virginiana       0.20      0.05      0.08        40
            Prunus yedoensis       0.03      0.41      0.06        39
        Pseudolarix amabilis       0.00      0.00      0.00        38
           Ptelea trifoliata       1.00      0.01      0.03        73
            Pyrus calleryana       1.00      0.05      0.10        40
          Quercus acutissima       0.00      0.00      0.00        40
                Quercus alba       0.07      0.04      0.05        53
             Quercus bicolor       0.00      0.00      0.00        41
              Quercus cerris       0.21      0.15      0.18        40
            Quercus coccinea       0.00      0.00      0.00        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.00      0.00      0.00        38
          Quercus macrocarpa       0.40      0.15      0.22        40
         Quercus marilandica       0.00      0.00      0.00        40
           Quercus michauxii       0.00      0.00      0.00        39
             Quercus montana       0.07      0.27      0.11        62
       Quercus muehlenbergii       0.00      0.00      0.00        39
               Quercus nigra       0.07      0.20      0.10        40
           Quercus palustris       0.00      0.00      0.00        40
             Quercus phellos       0.07      0.03      0.04        40
               Quercus robur       0.75      0.08      0.14        38
               Quercus rubra       0.00      0.00      0.00        13
           Quercus shumardii       0.38      0.35      0.36        40
            Quercus stellata       0.08      0.03      0.04        40
            Quercus velutina       0.02      0.05      0.03        39
          Quercus virginiana       0.00      0.00      0.00        40
       Robinia pseudo-acacia       0.00      0.00      0.00        41
            Salix babylonica       0.00      0.00      0.00        40
           Salix caroliniana       0.02      0.43      0.04        42
             Salix matsudana       0.00      0.00      0.00        38
                 Salix nigra       0.12      0.75      0.20        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       1.00      0.02      0.04        55
    Stewartia pseudocamellia       0.00      0.00      0.00        39
             Styrax japonica       0.00      0.00      0.00        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.00      0.00      0.00        20
          Taxodium distichum       0.03      0.58      0.06        38
             Tilia americana       0.32      0.13      0.18        47
               Tilia cordata       0.33      0.03      0.05        40
              Tilia europaea       0.26      0.28      0.27        39
             Tilia tomentosa       0.00      0.00      0.00        40
              Toona sinensis       0.00      0.00      0.00        13
            Tsuga canadensis       0.25      0.30      0.27        40
             Ulmus americana       0.00      0.00      0.00        66
                Ulmus glabra       0.14      0.03      0.05        34
            Ulmus parvifolia       0.00      0.00      0.00        40
               Ulmus procera       0.00      0.00      0.00        40
                Ulmus pumila       0.00      0.00      0.00        39
                 Ulmus rubra       0.00      0.00      0.00        88
             Zelkova serrata       0.00      0.00      0.00        39
                    accuracy                           0.09      7639
                   macro avg       0.14      0.08      0.06      7639
                weighted avg       0.14      0.09      0.06      7639
===============================================================================
Classifier: KNeighborsClassifier
------------------------------------------
Accuracy:  0.389
Precision:  0.389
Recall:  0.389
F1 Score:  0.389
Jaccard Score:  0.241
Hamming Loss:  0.611
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.40      0.74      0.52        66
          Abies nordmanniana       0.45      0.51      0.48        41
              Acer campestre       0.19      0.42      0.26        36
                Acer ginnala       0.43      0.65      0.51        40
                Acer griseum       0.21      0.27      0.23        26
                Acer negundo       0.44      0.68      0.53        65
               Acer palmatum       0.51      0.88      0.64        40
          Acer pensylvanicum       0.34      0.54      0.42        39
            Acer platanoides       0.21      0.40      0.27        40
         Acer pseudoplatanus       0.12      0.15      0.13        39
                 Acer rubrum       0.43      0.55      0.49        83
            Acer saccharinum       0.45      0.49      0.47        49
              Acer saccharum       0.21      0.27      0.24        52
              Aesculus flava       0.47      0.61      0.53        38
             Aesculus glabra       0.52      0.64      0.57        39
      Aesculus hippocastamon       0.44      0.59      0.51        39
               Aesculus pavi       0.50      0.39      0.44        41
         Ailanthus altissima       0.55      0.65      0.59        34
         Albizia julibrissin       0.70      0.84      0.76        38
         Amelanchier arborea       0.16      0.24      0.19        29
      Amelanchier canadensis       0.27      0.55      0.36        40
          Amelanchier laevis       0.32      0.50      0.39        40
             Asimina triloba       0.49      0.39      0.44        66
       Betula alleghaniensis       0.26      0.42      0.32        40
          Betula jacqemontii       0.14      0.38      0.20        40
                Betula lenta       0.20      0.41      0.27        39
                Betula nigra       0.16      0.23      0.19        39
          Betula populifolia       0.19      0.25      0.22        40
    Broussonettia papyrifera       0.15      0.25      0.19        79
            Carpinus betulus       0.22      0.50      0.31        40
        Carpinus caroliniana       0.41      0.57      0.47        49
           Carya cordiformis       0.61      0.61      0.61        49
                Carya glabra       0.44      0.36      0.40        33
                 Carya ovata       0.50      0.47      0.49        40
             Carya tomentosa       0.39      0.38      0.39        39
            Castanea dentata       0.31      0.49      0.38        39
        Catalpa bignonioides       0.53      0.68      0.60        57
            Catalpa speciosa       0.57      0.54      0.55        39
            Cedrus atlantica       0.28      0.27      0.27        26
              Cedrus deodara       0.19      0.23      0.21        26
               Cedrus libani       0.47      0.78      0.58        40
         Celtis occidentalis       0.27      0.11      0.15        37
           Celtis tenuifolia       0.13      0.23      0.17        39
    Cercidiphyllum japonicum       0.12      0.21      0.16        39
           Cercis canadensis       0.54      0.44      0.49        57
      Chamaecyparis pisifera       0.63      0.72      0.67        40
      Chamaecyparis thyoides       0.56      0.68      0.61        40
         Chionanthus retusus       0.17      0.40      0.24        40
      Chionanthus virginicus       0.36      0.21      0.27        57
            Cladrastis lutea       0.51      0.56      0.54        39
              Cornus florida       0.18      0.20      0.19        41
                Cornus kousa       0.18      0.28      0.22        40
                  Cornus mas       0.16      0.20      0.18        40
             Corylus colurna       0.17      0.25      0.21        16
        Crataegus crus-galli       0.47      0.41      0.44        34
         Crataegus laevigata       0.72      0.85      0.78        40
       Crataegus phaenopyrum       0.27      0.42      0.33        40
          Crataegus pruinosa       0.20      0.25      0.22        40
           Crataegus viridis       0.19      0.17      0.18        40
        Cryptomeria japonica       0.58      0.54      0.56        26
        Diospyros virginiana       0.37      0.27      0.31        66
           Eucommia ulmoides       0.17      0.28      0.21        40
            Evodia daniellii       0.58      0.27      0.37        26
           Fagus grandifolia       0.32      0.32      0.32        38
                Ficus carica       0.42      0.49      0.45        39
          Fraxinus americana       0.69      0.69      0.69        29
              Fraxinus nigra       0.64      0.95      0.77        40
      Fraxinus pennsylvanica       0.37      0.33      0.35        39
               Ginkgo biloba       0.41      0.38      0.39        40
       Gleditsia triacanthos       0.71      0.48      0.57        50
         Gymnocladus dioicus       0.35      0.36      0.35        39
          Halesia tetraptera       0.28      0.23      0.25        40
                  Ilex opaca       0.54      0.52      0.53        71
             Juglans cinerea       0.62      0.50      0.56        40
               Juglans nigra       0.56      0.37      0.44        49
        Juniperus virginiana       0.46      0.38      0.41        16
     Koelreuteria paniculata       0.46      0.45      0.46        40
               Larix decidua       0.48      0.40      0.44        40
     Liquidambar styraciflua       0.37      0.33      0.35        39
     Liriodendron tulipifera       0.45      0.39      0.42        61
            Maclura pomifera       0.65      0.94      0.77       140
          Magnolia acuminata       0.24      0.30      0.26        40
           Magnolia denudata       0.39      0.44      0.41        39
        Magnolia grandiflora       0.33      0.42      0.37        40
        Magnolia macrophylla       0.87      0.69      0.77        39
        Magnolia soulangiana       0.25      0.15      0.19        13
           Magnolia stellata       0.32      0.26      0.29        39
          Magnolia tripetala       0.49      0.49      0.49        39
         Magnolia virginiana       0.08      0.05      0.06        40
          Malus angustifolia       0.37      0.39      0.38        18
               Malus baccata       0.38      0.28      0.32        40
             Malus coronaria       0.24      0.17      0.20        40
            Malus floribunda       0.10      0.07      0.09        40
            Malus hupehensis       0.30      0.15      0.20        40
                Malus pumila       0.25      0.20      0.22        40
Metasequoia glyptostroboides       0.86      0.75      0.80        40
                  Morus alba       0.36      0.38      0.37        42
                 Morus rubra       0.50      0.27      0.35        41
             Nyssa sylvatica       0.33      0.21      0.25        39
           Ostrya virginiana       0.57      0.44      0.50        61
         Oxydendrum arboreum       0.14      0.10      0.12        39
         Paulownia tomentosa       0.41      0.23      0.30        39
      Phellodendron amurense       0.59      0.40      0.48        40
                 Picea abies       0.44      0.69      0.53        39
            Picea orientalis       0.79      0.79      0.79        39
               Picea pungens       0.54      0.38      0.44        40
              Pinus bungeana       0.33      0.30      0.32        40
                Pinus cembra       0.18      0.18      0.18        39
            Pinus densiflora       0.30      0.35      0.33        40
              Pinus echinata       0.39      0.53      0.45        40
              Pinus flexilis       0.23      0.15      0.18        41
            Pinus koraiensis       0.50      0.37      0.42        38
                 Pinus nigra       0.33      0.44      0.38        39
            Pinus parviflora       0.33      0.30      0.32        40
                Pinus peucea       0.36      0.24      0.29        41
               Pinus pungens       0.49      0.56      0.52        39
              Pinus resinosa       0.42      0.28      0.33        40
                Pinus rigida       0.43      0.50      0.47        40
               Pinus strobus       0.38      0.20      0.26        40
            Pinus sylvestris       0.50      0.30      0.37        40
                 Pinus taeda       0.53      0.53      0.53        40
            Pinus thunbergii       0.29      0.26      0.27        39
            Pinus virginiana       0.53      0.69      0.60        39
           Pinus wallichiana       0.80      0.40      0.53        40
         Platanus acerifolia       0.15      0.10      0.12        39
       Platanus occidentalis       0.44      0.27      0.34        55
           Populus deltoides       0.55      0.68      0.61        40
       Populus grandidentata       0.33      0.17      0.23        40
         Populus tremuloides       0.20      0.15      0.17        40
         Prunus pensylvanica       0.32      0.35      0.33        40
            Prunus sargentii       0.27      0.28      0.27        40
             Prunus serotina       0.49      0.45      0.47        42
            Prunus serrulata       0.27      0.21      0.23        39
          Prunus subhirtella       0.23      0.17      0.20        40
           Prunus virginiana       0.10      0.03      0.04        40
            Prunus yedoensis       0.32      0.21      0.25        39
        Pseudolarix amabilis       0.42      0.42      0.42        38
           Ptelea trifoliata       0.49      0.58      0.53        73
            Pyrus calleryana       0.59      0.40      0.48        40
          Quercus acutissima       0.17      0.07      0.10        40
                Quercus alba       0.40      0.19      0.26        53
             Quercus bicolor       0.11      0.07      0.09        41
              Quercus cerris       0.52      0.28      0.36        40
            Quercus coccinea       0.32      0.33      0.32        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.28      0.18      0.22        38
          Quercus macrocarpa       0.78      0.72      0.75        40
         Quercus marilandica       0.33      0.15      0.21        40
           Quercus michauxii       0.27      0.10      0.15        39
             Quercus montana       0.54      0.32      0.40        62
       Quercus muehlenbergii       0.55      0.28      0.37        39
               Quercus nigra       0.26      0.17      0.21        40
           Quercus palustris       0.62      0.40      0.48        40
             Quercus phellos       0.22      0.23      0.22        40
               Quercus robur       0.21      0.08      0.12        38
               Quercus rubra       0.25      0.08      0.12        13
           Quercus shumardii       0.55      0.55      0.55        40
            Quercus stellata       0.53      0.25      0.34        40
            Quercus velutina       0.68      0.54      0.60        39
          Quercus virginiana       0.43      0.33      0.37        40
       Robinia pseudo-acacia       0.52      0.41      0.46        41
            Salix babylonica       0.50      0.45      0.47        40
           Salix caroliniana       0.41      0.31      0.35        42
             Salix matsudana       0.70      0.61      0.65        38
                 Salix nigra       0.58      0.45      0.51        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       0.55      0.33      0.41        55
    Stewartia pseudocamellia       0.22      0.18      0.20        39
             Styrax japonica       0.34      0.28      0.31        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.73      0.80      0.76        20
          Taxodium distichum       0.89      0.42      0.57        38
             Tilia americana       0.43      0.28      0.34        47
               Tilia cordata       0.46      0.30      0.36        40
              Tilia europaea       0.30      0.15      0.20        39
             Tilia tomentosa       0.35      0.23      0.27        40
              Toona sinensis       0.62      0.62      0.62        13
            Tsuga canadensis       0.46      0.28      0.34        40
             Ulmus americana       0.45      0.48      0.47        66
                Ulmus glabra       0.21      0.12      0.15        34
            Ulmus parvifolia       0.52      0.38      0.43        40
               Ulmus procera       0.14      0.07      0.10        40
                Ulmus pumila       0.18      0.15      0.17        39
                 Ulmus rubra       0.44      0.30      0.35        88
             Zelkova serrata       0.28      0.18      0.22        39
                    accuracy                           0.39      7639
                   macro avg       0.39      0.37      0.37      7639
                weighted avg       0.40      0.39      0.38      7639
===============================================================================

